,Quarter,Year,Location Group,Frequency
0,1,2020,Austin High,4139
1,1,2020,Bartholomew Pool,3
2,1,2020,Butler Shores,5043
3,1,2020,Colorado River,2911
4,1,2020,Core,397999
5,1,2020,Deep Eddy Pool,29
6,1,2020,East Austin,98320
7,1,2020,Emma,2336
8,1,2020,IH 35 Lot,802
9,1,2020,MACC Lot,8839
10,1,2020,MoPac Lot,4997
11,1,2020,Mueller,38675
12,1,2020,Non-Core,132787
13,1,2020,Rainey,25593
14,1,2020,Toomey,17853
15,1,2020,Unknown Location,6398
16,1,2020,Walsh,631
17,1,2020,Walter,4461
18,1,2020,West Campus,58912
19,1,2021,Austin High,5856
20,1,2021,Butler Shores,3580
21,1,2021,Colorado River,1652
22,1,2021,Core,250328
23,1,2021,East Austin,62046
24,1,2021,Emma,3823
25,1,2021,IH 35 Lot,311
26,1,2021,MACC Lot,5840
27,1,2021,MoPac Lot,3880
28,1,2021,Mueller,18173
29,1,2021,Non-Core,66466
30,1,2021,Rainey,21983
31,1,2021,Toomey,13016
32,1,2021,Unknown Location,177
33,1,2021,Walsh,832
34,1,2021,Walter,5036
35,1,2021,West Campus,38093
36,1,2021,Woods of Westlake,25
37,1,2022,Austin High,4384
38,1,2022,Bartholomew Pool,189
39,1,2022,Butler Shores,4638
40,1,2022,Colorado River,2419
41,1,2022,Core,314733
42,1,2022,Dawson's Lot,9989
43,1,2022,Deep Eddy Pool,1041
44,1,2022,East Austin,91579
45,1,2022,Emma,2898
46,1,2022,IH 35 Lot,2187
47,1,2022,MACC Lot,8026
48,1,2022,MoPac Lot,3875
49,1,2022,Mueller,31786
50,1,2022,Non-Core,93826
51,1,2022,Q2 Stadium,937
52,1,2022,Rainey,25091
53,1,2022,Silicon and Titanium,20
54,1,2022,Toomey,20824
55,1,2022,Unknown Location,28
56,1,2022,Walsh,1327
57,1,2022,Walter,1588
58,1,2022,West Campus,42524
59,1,2022,Woods of Westlake,7020
60,1,2023,Austin High,3537
61,1,2023,Butler Shores,4871
62,1,2023,Colorado River,2797
63,1,2023,Core,332805
64,1,2023,Dawson's Lot,9866
65,1,2023,East Austin,93693
66,1,2023,Emma,3521
67,1,2023,IH 35 Lot,1110
68,1,2023,MACC Lot,10142
69,1,2023,MoPac Lot,3868
70,1,2023,Mueller,42923
71,1,2023,Non-Core,96333
72,1,2023,Q2 Stadium,998
73,1,2023,Rainey,20852
74,1,2023,Silicon and Titanium,5
75,1,2023,Toomey,23760
76,1,2023,Unknown Location,6
77,1,2023,Walsh,1723
78,1,2023,Walter,5277
79,1,2023,West Campus,43922
80,1,2023,Woods of Westlake,5307
81,1,2024,Austin High,3770
82,1,2024,Butler Shores,6480
83,1,2024,Colorado River,2757
84,1,2024,Core,355193
85,1,2024,Dawson's Lot,10185
86,1,2024,East Austin,108962
87,1,2024,Emma,3506
88,1,2024,IH 35 Lot,1938
89,1,2024,MACC Lot,148
90,1,2024,MoPac Lot,3297
91,1,2024,Mueller,53013
92,1,2024,Non-Core,97939
93,1,2024,Q2 Stadium,1063
94,1,2024,Rainey,23895
95,1,2024,Silicon and Titanium,16
96,1,2024,South Congress,73259
97,1,2024,Toomey,26588
98,1,2024,Unknown Location,1737
99,1,2024,Walsh,2138
100,1,2024,Walter,5540
101,1,2024,West Campus,48532
102,1,2024,Woods of Westlake,5909
103,1,2025,Austin High,263
104,1,2025,Butler Shores,1966
105,1,2025,Colorado River,933
106,1,2025,Core,148946
107,1,2025,Dawson's Lot,3004
108,1,2025,East Austin,41674
109,1,2025,Emma,762
110,1,2025,IH 35 Lot,377
111,1,2025,MACC Lot,44
112,1,2025,MoPac Lot,1167
113,1,2025,Mueller,22494
114,1,2025,Non-Core,37356
115,1,2025,Rainey,7266
116,1,2025,Silicon and Titanium,5
117,1,2025,South Congress,42157
118,1,2025,Toomey,8864
119,1,2025,Unknown Location,18462
120,1,2025,Walsh,388
121,1,2025,Walter,795
122,1,2025,West Campus,19999
123,1,2025,Woods of Westlake,1958
124,2,2020,Austin High,12120
125,2,2020,Butler Shores,1651
126,2,2020,Colorado River,3098
127,2,2020,Core,148382
128,2,2020,East Austin,18984
129,2,2020,Emma,12121
130,2,2020,IH 35 Lot,141
131,2,2020,MACC Lot,2951
132,2,2020,MoPac Lot,3127
133,2,2020,Mueller,8232
134,2,2020,Non-Core,24095
135,2,2020,Rainey,11284
136,2,2020,Toomey,10155
137,2,2020,Unknown Location,174
138,2,2020,Walsh,1157
139,2,2020,Walter,9142
140,2,2020,West Campus,25204
141,2,2021,Austin High,9589
142,2,2021,Butler Shores,4817
143,2,2021,Colorado River,3241
144,2,2021,Core,340789
145,2,2021,East Austin,99634
146,2,2021,Emma,9053
147,2,2021,IH 35 Lot,331
148,2,2021,MACC Lot,9588
149,2,2021,MoPac Lot,4322
150,2,2021,Mueller,31104
151,2,2021,Non-Core,95347
152,2,2021,Q2 Stadium,598
153,2,2021,Rainey,30319
154,2,2021,Toomey,24783
155,2,2021,Unknown Location,160
156,2,2021,Walsh,1917
157,2,2021,Walter,9342
158,2,2021,West Campus,56730
159,2,2021,Woods of Westlake,5584
160,2,2022,Austin High,7991
161,2,2022,Bartholomew Pool,2200
162,2,2022,Butler Shores,5465
163,2,2022,Colorado River,4543
164,2,2022,Core,377309
165,2,2022,Dawson's Lot,10957
166,2,2022,Deep Eddy Pool,13606
167,2,2022,East Austin,108745
168,2,2022,Emma,11456
169,2,2022,Garrison Pool,771
170,2,2022,IH 35 Lot,2632
171,2,2022,MACC Lot,10601
172,2,2022,MoPac Lot,4532
173,2,2022,Mueller,40682
174,2,2022,Non-Core,106104
175,2,2022,Northwest Pool,1116
176,2,2022,Q2 Stadium,1633
177,2,2022,Rainey,28236
178,2,2022,Silicon and Titanium,29
179,2,2022,Toomey,27846
180,2,2022,Unknown Location,18
181,2,2022,Walsh,5271
182,2,2022,Walter,1607
183,2,2022,West Campus,50536
184,2,2022,Woods of Westlake,6710
185,2,2023,Austin High,5661
186,2,2023,Butler Shores,5346
187,2,2023,Colorado River,4224
188,2,2023,Core,358569
189,2,2023,Dawson's Lot,9622
190,2,2023,East Austin,104382
191,2,2023,Emma,12197
192,2,2023,IH 35 Lot,910
193,2,2023,MACC Lot,8
194,2,2023,MoPac Lot,4011
195,2,2023,Mueller,52849
196,2,2023,Non-Core,97583
197,2,2023,Q2 Stadium,1949
198,2,2023,Rainey,24903
199,2,2023,Silicon and Titanium,3
200,2,2023,Toomey,26976
201,2,2023,Unknown Location,1180
202,2,2023,Walsh,4433
203,2,2023,Walter,11668
204,2,2023,West Campus,48245
205,2,2023,Woods of Westlake,6458
206,2,2024,Austin High,5193
207,2,2024,Butler Shores,7671
208,2,2024,Colorado River,4857
209,2,2024,Core,388592
210,2,2024,Dawson's Lot,10664
211,2,2024,East Austin,118103
212,2,2024,Emma,12423
213,2,2024,IH 35 Lot,1961
214,2,2024,MACC Lot,165
215,2,2024,MoPac Lot,3850
216,2,2024,Mueller,61498
217,2,2024,Non-Core,101651
218,2,2024,Q2 Stadium,1734
219,2,2024,Rainey,26474
220,2,2024,Silicon and Titanium,13
221,2,2024,South Congress,89405
222,2,2024,Toomey,32980
223,2,2024,Unknown Location,11166
224,2,2024,Walsh,5398
225,2,2024,Walter,11930
226,2,2024,West Campus,51384
227,2,2024,Woods of Westlake,7418
228,3,2020,Austin High,7806
229,3,2020,Butler Shores,3033
230,3,2020,Colorado River,1446
231,3,2020,Core,249142
232,3,2020,East Austin,45098
233,3,2020,Emma,10382
234,3,2020,IH 35 Lot,101
235,3,2020,MACC Lot,1436
236,3,2020,MoPac Lot,3892
237,3,2020,Mueller,15140
238,3,2020,Non-Core,60182
239,3,2020,Q2 Stadium,5
240,3,2020,Rainey,20744
241,3,2020,Toomey,9098
242,3,2020,Unknown Location,299
243,3,2020,Walsh,1373
244,3,2020,Walter,8617
245,3,2020,West Campus,48188
246,3,2020,Woods of Westlake,4
247,3,2021,Austin High,9167
248,3,2021,Butler Shores,4787
249,3,2021,Colorado River,4061
250,3,2021,Core,360666
251,3,2021,East Austin,100202
252,3,2021,Emma,8768
253,3,2021,IH 35 Lot,522
254,3,2021,MACC Lot,10032
255,3,2021,MoPac Lot,4888
256,3,2021,Mueller,33423
257,3,2021,Non-Core,104812
258,3,2021,Q2 Stadium,2756
259,3,2021,Rainey,30315
260,3,2021,Toomey,25148
261,3,2021,Unknown Location,11
262,3,2021,Walsh,3571
263,3,2021,Walter,9024
264,3,2021,West Campus,62827
265,3,2021,Woods of Westlake,9023
266,3,2022,Austin High,5733
267,3,2022,Bartholomew Pool,1903
268,3,2022,Butler Shores,4813
269,3,2022,Colorado River,3430
270,3,2022,Core,369703
271,3,2022,Dawson's Lot,7393
272,3,2022,Deep Eddy Pool,14304
273,3,2022,East Austin,98375
274,3,2022,Emma,11410
275,3,2022,Garrison Pool,1334
276,3,2022,IH 35 Lot,1853
277,3,2022,MACC Lot,12677
278,3,2022,MoPac Lot,3434
279,3,2022,Mueller,36355
280,3,2022,Non-Core,97757
281,3,2022,Northwest Pool,2202
282,3,2022,Q2 Stadium,2060
283,3,2022,Rainey,23065
284,3,2022,Silicon and Titanium,12
285,3,2022,Toomey,23827
286,3,2022,Unknown Location,12
287,3,2022,Walsh,5042
288,3,2022,Walter,1405
289,3,2022,West Campus,55258
290,3,2022,Woods of Westlake,4011
291,3,2023,Austin High,4743
292,3,2023,Butler Shores,4471
293,3,2023,Colorado River,4339
294,3,2023,Core,350430
295,3,2023,Dawson's Lot,6012
296,3,2023,East Austin,97152
297,3,2023,Emma,10879
298,3,2023,IH 35 Lot,876
299,3,2023,MACC Lot,5
300,3,2023,MoPac Lot,3063
301,3,2023,Mueller,46674
302,3,2023,Non-Core,93169
303,3,2023,Q2 Stadium,1146
304,3,2023,Rainey,24392
305,3,2023,Silicon and Titanium,8
306,3,2023,South Congress,1989
307,3,2023,Toomey,23961
308,3,2023,Unknown Location,3664
309,3,2023,Walsh,4718
310,3,2023,Walter,10505
311,3,2023,West Campus,52866
312,3,2023,Woods of Westlake,3255
313,3,2024,Austin High,4550
314,3,2024,Butler Shores,6880
315,3,2024,Colorado River,3971
316,3,2024,Core,363369
317,3,2024,Dawson's Lot,7964
318,3,2024,East Austin,108511
319,3,2024,Emma,13661
320,3,2024,IH 35 Lot,1395
321,3,2024,MACC Lot,108
322,3,2024,MoPac Lot,3395
323,3,2024,Mueller,57370
324,3,2024,Non-Core,96919
325,3,2024,Q2 Stadium,2088
326,3,2024,Rainey,22373
327,3,2024,Silicon and Titanium,17
328,3,2024,South Congress,94773
329,3,2024,Toomey,26474
330,3,2024,Unknown Location,35954
331,3,2024,Walsh,5316
332,3,2024,Walter,9955
333,3,2024,West Campus,63424
334,3,2024,Woods of Westlake,4888
335,4,2019,East Austin,78
336,4,2019,IH 35 Lot,20
337,4,2019,MACC Lot,16
338,4,2019,Toomey,5
339,4,2020,Austin High,6515
340,4,2020,Butler Shores,3429
341,4,2020,Colorado River,1977
342,4,2020,Core,263221
343,4,2020,East Austin,59257
344,4,2020,Emma,4419
345,4,2020,IH 35 Lot,433
346,4,2020,MACC Lot,5329
347,4,2020,MoPac Lot,5013
348,4,2020,Mueller,17275
349,4,2020,Non-Core,70940
350,4,2020,Q2 Stadium,1
351,4,2020,Rainey,22449
352,4,2020,Toomey,10925
353,4,2020,Unknown Location,164
354,4,2020,Walsh,1494
355,4,2020,Walter,5015
356,4,2020,West Campus,39855
357,4,2020,Woods of Westlake,48
358,4,2021,Austin High,6033
359,4,2021,Butler Shores,4924
360,4,2021,Colorado River,2780
361,4,2021,Core,346912
362,4,2021,Dawson's Lot,10689
363,4,2021,East Austin,97421
364,4,2021,Emma,2776
365,4,2021,IH 35 Lot,1832
366,4,2021,MACC Lot,8858
367,4,2021,MoPac Lot,5762
368,4,2021,Mueller,34722
369,4,2021,Non-Core,109726
370,4,2021,Q2 Stadium,1322
371,4,2021,Rainey,30549
372,4,2021,Toomey,22040
373,4,2021,Unknown Location,630
374,4,2021,Walsh,3949
375,4,2021,Walter,3807
376,4,2021,West Campus,47593
377,4,2021,Woods of Westlake,6177
378,4,2022,Austin High,3462
379,4,2022,Bartholomew Pool,46
380,4,2022,Butler Shores,4627
381,4,2022,Colorado River,2334
382,4,2022,Core,347286
383,4,2022,Dawson's Lot,10419
384,4,2022,Deep Eddy Pool,509
385,4,2022,East Austin,94175
386,4,2022,Emma,2517
387,4,2022,IH 35 Lot,1558
388,4,2022,MACC Lot,13398
389,4,2022,MoPac Lot,4471
390,4,2022,Mueller,43078
391,4,2022,Non-Core,97232
392,4,2022,Q2 Stadium,906
393,4,2022,Rainey,21367
394,4,2022,Silicon and Titanium,8
395,4,2022,Toomey,21491
396,4,2022,Unknown Location,1
397,4,2022,Walsh,4041
398,4,2022,Walter,2302
399,4,2022,West Campus,45807
400,4,2022,Woods of Westlake,4238
401,4,2023,Austin High,4006
402,4,2023,Butler Shores,4756
403,4,2023,Colorado River,2716
404,4,2023,Core,358464
405,4,2023,Dawson's Lot,10474
406,4,2023,East Austin,102871
407,4,2023,Emma,2987
408,4,2023,IH 35 Lot,1562
409,4,2023,MACC Lot,58
410,4,2023,MoPac Lot,4473
411,4,2023,Mueller,47187
412,4,2023,Non-Core,103970
413,4,2023,Q2 Stadium,404
414,4,2023,Rainey,24076
415,4,2023,Silicon and Titanium,2
416,4,2023,South Congress,63601
417,4,2023,Toomey,24687
418,4,2023,Unknown Location,958
419,4,2023,Walsh,4480
420,4,2023,Walter,2585
421,4,2023,West Campus,46061
422,4,2023,Woods of Westlake,4231
423,4,2024,Austin High,3142
424,4,2024,Butler Shores,5592
425,4,2024,Colorado River,2897
426,4,2024,Core,357598
427,4,2024,Dawson's Lot,11373
428,4,2024,East Austin,105508
429,4,2024,Emma,4527
430,4,2024,IH 35 Lot,1224
431,4,2024,MACC Lot,90
432,4,2024,MoPac Lot,4836
433,4,2024,Mueller,58625
434,4,2024,Non-Core,100207
435,4,2024,Q2 Stadium,737
436,4,2024,Rainey,19396
437,4,2024,Silicon and Titanium,5
438,4,2024,South Congress,108638
439,4,2024,Toomey,23582
440,4,2024,Unknown Location,48806
441,4,2024,Walsh,4859
442,4,2024,Walter,3392
443,4,2024,West Campus,50466
444,4,2024,Woods of Westlake,4121
